trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
202,False,"{'a': 0.5, 'e': 0.01795296493950285}",30,16,26.493197411202463,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.017597472415623393}",25,0,36.00962437269842,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
204,False,"{'a': 0.5, 'e': 0.017249019115346265}",20,9,20.49427235573561,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.01690746565270528}",20,12,18.854256235755106,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.016572675401761255}",25,17,14.869500343118741,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.01624451444194987}",30,14,28.657950477500815,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.015922851504511698}",20,12,16.854916586667525,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.01560755791998283}",20,16,8.078606117103913,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.015298507566725518}",25,3,34.770926122470854,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.014995576820477703}",25,13,23.856340531843788,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.014698644504901784}",20,0,9.158138925784924,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
213,False,"{'a': 0.5, 'e': 0.01440759184311235}",25,18,14.875864695390582,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.014122302410163962}",25,13,20.61337492419939,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.013842662086479501}",20,7,21.56757358371219,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.013568559012200934}",30,12,19.13425932766872,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.013299883542443767}",30,16,25.150457936520198,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.013036528203437736}",20,16,7.235362069873702,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.01277838764953576}",20,0,29.661324649662138,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
220,False,"{'a': 0.5, 'e': 0.012525358621074385}",20,5,22.653984287307313,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.012277339903068436}",20,9,19.567873951209005,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.012034232284723775}",20,12,15.804625118045655,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.011795938519751562}",25,18,10.1201908409639,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.011562363287468536}",30,21,18.955615759987033,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.011333413154667387}",25,2,37.208634954875826,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.011108996538242306}",20,12,15.075664076847913,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.01088902366855444}",25,18,11.198371226251528,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.010673406553522925}",20,10,17.9050103468708,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.010462058943426795}",20,0,27.733836239992215,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
230,False,"{'a': 0.5, 'e': 0.010254896296404022}",20,10,20.392433864502415,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
